DENOMINAÇÃO SOCIAL ,NOME DE PREGÃO,CÓDIGO,CNPJ,DATA REGISTRO,DATA DE CANCELAMENTO,ÚLTIMO ENDEREÇO E ; TELEFONE DA SEDE ,MOTIVO DO CANCELAMENTO
CONSTRUTORA LIX DA CUNHA S.A.,LIX DA CUNHA,LIXC,46.014.635/0001-49,4/6/1972,1/17/2018,"Lrg das Andorinhas, 41 - Sala 02, Edifício Andorinhas; Cep: 13015-102; Campinas-SP; Tel.:(19) 2129-7766","Listagem cancelada na B3, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
CONSTRUTORA SULTEPA S.A.,SULTEPA ,SULT,89.723.993/0001-33,9/30/1986,3/6/2017,"Travessa Francisco Leonardo Truda, 40 - 11º andar; CEP: 90010-050; Porto Alegre-RS; Tel.:(51) 3214-1200","Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
CONSTRUTORA TENDA S.A.,TENDA,TEND,71.476.527/0001-35,10/11/2007,7/8/2011,"Av. das Nações Unidas, 8501  - 19º andar; CEP:05425-070; São Paulo - SP; Tel.:(11)3025-9000",Cancelou o registro de cia aberta. Em 30/12/2009 tornou-se subsidiária integral da Gafisa S.A.
COPACABANA PRINCE PARTICIPAÇÕES S.A.,COPACABANA,BJUL,09.462.850/0001-86,8/7/2008,5/4/2012,"Rua Álvares Penteado, 97 4º andar; CEP:01012-001; São Paulo - SP; Tel.:(11) 3292-5050",Incorporada pelo Banco BTG Pactual S.A.
COPERSUCAR S.A.,COPERSUCAR,COPR,10.265.949/0001-77,19/07/2011,16/08/2011,"Av. Paulista , 287 1º andar; CEP:01311-000; São Paulo - SP; Tel.:(11)2618-8224",Cancelou  o registro de cia aberta. Não estava admitida à cotação.
COPESUL - CIA PETROQUIMICA DO SUL,COPESUL,CPSL,88.948.492/0001-92,11/11/1992,18/10/2007,"BR 386. Rod. Tabai/ Canoas Km 419 - Lote 23,  ; CEP:95853-000; Triunfo - RS; Tel.:(51)3457-6402","Cancelou registro de Cia Aberta. O acionista controlador, Braskem S.A., realizou OPA na BOVESPA em 05/10/2007 ao preço de R$ 38,02 /ação."
COSAN ALIMENTOS S.A.,COSAN ALM,NAAG,62.092.739/0001-28,16/07/2007,6/9/2010,"Fazenda Nova America , s/n ; CEP:19820-000; Taruma - SP; Tel.:(18)3373-4008",Cancelou registro de Cia Aberta. Não estava admitida à cotação na BMFBOVESPA.
COSAN LIMITED,COSAN LTD,CZLT,08.887.330/0001-52,8/15/2007,10/15/2018,"Cedar Avenue, 50, Crawford House
; CEP: 11560
; Hamilton, Bermuda
; Tel.: (11) 3897-9797",Programa de BDR´S cancelado pela CVM. 
COSTA PINTO S.A.,USIN C PINTO,UCOP,44.689.123/0001-57,1/15/1985,3/27/2013,"Av. Presidente Juscelino Kubitschek, 1327, 2º andar
; CEP: 04543 - 011
; São Paulo - SP 
; Tel.: (11)2105-4450","Cancelou registro de cia aberta. A acionista Aguassanta Participações S.A. realizou OPA na BMFBOVESPA em 05/03/2013 ao preço de R$ 5,04/ação. "
CP CIMENTO E PARTICIPACOES S.A.,CP CIMENTO,CPCM,03.410.855/0001-89,1/22/2002,12/27/2012,"Av. Presidente Wilson, 231 - 29º andar/parte;CEP: 20030-905; Rio de Janeiro - RJ; Tel.: (21) 2277-2121",Cancelou registro de cia. aberta.
CPM BRAXIS S.A.,CPM,CPMS,65.599.953/0001-63,22/09/2006,9/6/2007,"Al. Araguaia, 1930 ; CEP:06455-000; São Paulo - SP; Tel.:(11)4196-3459","Cancelou registro de Cia Aberta, aprovado por 100% dos acionistas. Não estava admitida à cotação na BOVESPA. "
CREMER S.A.,CREMER,CREM,82.641.325/0001-18,1/3/1972,5/17/2004,"Rua Iguaçú,291/363
; CEP: 89030 - 030
; Blumenau - SC
; Tel.: (47)321-8000","Cancelou registro de Cia Aberta . O acionista controlador, Cremer Participações S.A. realizou OPA na BOVESPA em 26/04/2004 garantindo aos acionistas que aderissem à oferta, duas opções de venda: 80% do preço de subscrição, correspondendo à R$ 48,00 /mil ações, pago na data da liquidação financeira do leilão ou 100% do preço de subscrição, equivalente à R$ 60,00 por lote de mil ações, sendo R$ 42,00 /mil ações, pago na data da liquidação financeira e a diferença (R$ 18,00 /mil ações) paga acrescida dos rendimentos líquidos do Fundo DI e deduzida da quantia necessária a fim de ressarcir à Merrill Lynch Global Partners, Inc. as perdas indenizáveis, no prazo de 5 (cinco) dias úteis contados do recebimento pelo agente depositário local da notificação para liberação da conta garantia no exterior.
"
CREMER S.A.,CREMER ,CREM,82.641.325/0001-18,7/10/2006,11/27/2018,"Rua Iguaçu, 291/363; CEP: 89030-030; Itoupava Seca-SC; Tel.: (47) 2123-8358",Cancelou registro de cia aberta. A CM Hospitalar S.A. realizou OPA na B3 em 18/10/2018. 
CSM - CARTÕES DE SEGURANÇA S.A.,CSM CARTOES,CSEG,00.624.910/0001-45,8/25/1997,4/26/2001,"Rua Laura Maiello Kook,511
; CEP: 18052 - 580
; Sorocaba - SP 
; Tel.: (15)222-8000 ",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
CTX PARTICIPAÇÕES S.A.,CTX PART ,CTXP,09.601.322/0001-60,10/9/2008,9/29/2016,"Rua Beneditinos, 15; CEP: 20081-050; Rio de Janeiro - RJ; Tel.: (21) 3873-9028",Companhia em fase de liquidação
CZARINA S.A.,CZARINA,CZAR,96.735.006/0001-86,5/13/1986,2/9/1999,"Av. Senador Salgado Filho,4138
; CEP: 93125-340
; São Leopoldo - RS
; Tel.:  (51)568-2500",Falta de atualização do registro perante a BVES.
DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO,ALBARUS,ALBA,92.758.085/0001-90,1/9/1969,8/9/2005,"Rua Ricardo Bruno Albarus,201
; CEP: 94045 - 400
; Gravataí - RS
; Tel.: (51)489-3319
","Cancelou registro de Cia Aberta . A acionista controlador, Dana Equipamentos Ltda. realizou OPA na BOVESPA em 28/07/2005 ao preço de R$ 2,17 /ação."
DATAMEC S.A. SIST. PROCES. DADOS,DATAMEC,DATA,33.387.382/0001-07,1/9/1969,4/25/2000,"Rua Estrela,67 - 
4ºandar
; CEP: 20258 - 900
; Rio de Janeiro - RJ 
; Tel.: (21)563-7322","Cancelou registro de Cia Aberta . O acionista controlador, Unisys Brasil Ltda. realizou OPA na BVRJ em 11/04/2000 ao preço de R$ 1.019,00 /mil ações.  "
DATASUL S.A.,DATASUL,DSUL,03.114.361/0001-57,30/05/2006,10/16/2008,"Av. Santos Dumont, 831 ; CEP:89222-900; Joinville - SC; Tel.:(47)2101-7215","Incorporada pela Makira do Brasil S.A., e subsequente incorporação da Makira do Brasil S.A. pela Totvs S.A. Cada ação da Datasul foi substituída por uma ação ON e uma ação PN resgatável da Makira. E cada ação ON da Makira foi substituída por 0,15499893 ação ON da Totvs S.A.   
As ações PN da Makira foram resgatadas ao valor de R$ 14,49485297/ação."
"DE MAIO, GALLO S.A. IND. COM. PEÇAS DE AUTOMÓVEIS",MAIO GALLO,GALO,61.146.650/0001-34,7/18/1973,6/28/2004,"Rua Lourenço Leoncini,43
; CEP: 13486 - 438
; Limeira - SP 
; Tel.: (19)3446-4300 ","Cancelou registro de Cia Aberta . A acionista controladora, D.M.G. Participações S.A. realizou OPA na BOVESPA em 14/06/2004 ao preço de R$ 0,15 /mil ações."
DF VASCONCELLOS S.A. ÓPTICA E MECÂNICA DE ALTA PRECISÃO ,D F VASCONC,DFVA,61.482.725/0001-58,13/09/1956,24/04/2007,"Av. Indianópolis , 1706 ; CEP:04062-901; São Paulo - SP; Tel.:(11)5584-0411","Cancelou registro de cia aberta. O acionista controlador, Medical Laser Co. Inc. realizou OPA na BOVESPA em 11/04/2007 ao preço de R$ 0,53 /ação"
DHB INDUSTRIA E COMERCIO S.A.,D H B ,DHBI,92.825.900/0001-96,2/27/1978,3/6/2017,"Avenida das Indústrias, 865; CEP: 90200-290; Porto Alegre-RS; Tel.: (51) 2121-1286","Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
DIJON S.A.,DIJON,DJON,40.173.064/0001-09,30/04/1991,17/10/2006,"Rua Farme de Amoedo, 56 ; CEP:22420-020; Rio de Janeiro - RJ; Tel.:(21)2103-4606",Falta de atualização de registro perante a BOVESPA.
DISTRIBUIDORA DE PRODUTOS DE PETRÓLEO IPIRANGA S.A.,IPIRANGA DIS,DPPI,92.689.256/0001-76,1/9/1969,21/07/2008,"Rua Dolores Alcaraz Caldas, 90  - 12º andar; CEP:90110-180; Porto Alegre - RS; Tel.:(51)3216-4355","Incorporada pela Ultrapar Participações S.A. Cada uma ação ON ou PN foi substituída por 0,64048 ação PN da Ultrapar Participações S.A."
DIXIE TOGA S.A.,DIXIE TOGA,DXTG,60.394.723/0001-44,30/06/1995,22/07/2011,"Av. Mario Haberfeld, 555 ; CEP:02145-000; São Paulo - SP; Tel.:(11)2928-9200","Cancelou registro de Cia aberta. A acionista controladora Bemis Cayman Islands, realizou OPA através de procedimento diferenciado na BMFBOVESPA em 08/07/2011 ao preço de R$ 3,50 /ação. corrigido pela variação do CDI a partir da 23/02/2011."
DOCAS INVESTIMENTOS S.A.,DOCAS ,DOCA,33.433.665/0001-48,3/2/1931,5/27/2014,"Praia de Botafogo, 228 - 402 Ala A; CEP: 22250-040; Rio de Janeiro -RJ; Tel.: (21) 3237-2100","Cancelou registro de cia aberta. A acionista Santa Maria Participações LTDA. realizou OPA na BMFBOVESPA em 06/05/2014 ao preço de R$ 13,17 /ação ordinária e R$ 7,68/ação preferencial. "
DONA ISABEL S.A.,DONA ISABEL ,DISA,31.119.639/0001-14,7/3/1969,3/9/1999,"Rua Dr. March,108
; CEP: 24118-900
; Niterói - RJ
; Tel.:  (21)620-8811",Registro cancelado pela BVRJ. A BOVESPA cancelou autorização para negociação em 19/02/1999.
DOUAT CIA TÊXTIL,DOUAT TEXTIL,ARPS,82.610.726/0001-00,5/20/1981,8/30/2004,"Rua Rui Barbosa,2930
; CEP: 89220 - 100
; Joinville - SC
; Tel.: (47)441-5722 ","Cancelou registro de Cia Aberta . O acionista controlador, Douat Companhia de Participações realizou OPA por meio da adoção de procedimento diferenciado no período de 07/07 A 06/08/2004 ao preço de R$ 96,72 /mil ações."
DUFRY A.G.,DUFRY AG ,DAGB,11.423.623/0001-93,4/7/2010,12/28/2018,0; -; -; -,"Em 31/07/2018, a Conselho de Administração aprovou a descontinuidade voluntária do Programa de BDR."
DUFRY SOUTH AMERICA LTD.,DUFRYBRAS,DUFB,08.383.595/0001-13,18/12/2006,28/05/2010,"Clarendon House 2 - Church Street,  ; CEP:; Hamilton - Bermudas / Mexico - ; Tel.:(21)2157-9610","Incorporada pela Dufry A.G. Cada 4,10 BDRs foram substituídos por 1,0 BDR da Dufry A.G."
DURATEX S.A.,DURATEX,DURA,61.194.080/0001-58,27/06/1951,10/8/2009,"Av.Paulista, 1938 - 5º andar; CEP:01310-942; São Paulo - SP; Tel.:(11)3179-7359","Incorporada pela Satipel Industrial S.A.( que alterou sua denominação social para Duratex S.A.).Para cada ação ON ou PN foram atribuídas 2,54467001 ações ON da Satipel Industrial S.A."
DUREX INDUSTRIAL S.A.,DUREX,AUTO,60.881.422/0001-45,10/17/1974,1/28/2000,"Rua Jaceru,247
; CEP: 04705 - 900
; São Paulo - SP 
; Tel.: (11)5561-2125","Cancelou registro de Cia Aberta . O acionista controlador, Victor de Paula Figueira Freitas realizou OPA na BVRJ em 04/01/2000 ao preço de R$ 10,27 /mil ações."
DUXXI IMOBILIÁRIA S.A.,DUXXI ,DXXI,10.382.341/0001-22,6/4/2010,1/5/2017,"Rua Bento de Andrade,638; CEP; 04503-001; São Paulo-SP; Tel.: (11) 3199-5000 ",Não iniciou a negociação de seus valores mobiliários até o prazo máximo previsto no Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários da BM&FBOVESPA.
EBX BRASIL S.A.,EBX BRASIL ,EBXG,10.847.761/0001-37,10/8/2009,3/21/2014,"Praça Mahatma Gandhi, 14 - 22º andar; CEP: 20031-100; Rio de Janeiro - RJ; Tel.: (21) 2163-5500",Cancelou registro de cia. aberta.
ECISA ENGENHARIA COMÉRCIO E INDÚSTRIA S.A. ,ECISA,ECIS,33.261.561/0001-01,5/20/1970,4/15/2005,"Av. Presidente Wilson,231 - 27ºandar 
; CEP: 20030 - 021
; Rio de Janeiro - RJ  
; Tel.: (21)2220-2707","Cancelou registro de Cia Aberta . Os acionistas controladores, Richard Paul Matheson e DYL Empreendimentos e Participações S.A. realizaram OPA na BOVESPA em 28/03/2005 ao preço de R$ 211,65 /ação.                 "
ECONÔMICO S.A. EMPREENDIMENTOS,ECONOMIC EMP,ECMC,13.587.050/0001-69 ,1/24/1995,4/27/2004,"Rua Eteno,1561 
; CEP: 42810 - 000
; Camarai - BA 
; Tel.: (11)3443-9615",Incorporada pela Braskem S.A. não estava admitido à cotação na BOVESPA.
EDN - ESTIRENO DO NORDESTE S.A.,EDN,EDNE,13.565.502/0001-01,3/28/1984,7/17/2003,"Rua Hidrogênio,1879
; CEP: 42810 - 000
; Camarai - BA
; Tel.: (71)632-8100",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
ELEBRA S.A. ELETRÔNICA BRASILEIRA,ELEBRA,ELBR,53.843.777/0001-84,1/21/1985,1/9/2002,"Rua Bogaert,326 
; CEP: 04298 - 020
; São Paulo - SP 
; Tel.: (11)6969-1690",Falta de atualização do registro perante a BOVESPA.
ELECTROLUX DO BRASIL S.A.,ELECTROLUX,REPA,76.487.032/0001-25,1/3/1972,8/4/2004,"Rua Ministro Gabriel Passos,360
; CEP: 81520 - 900
; Curitiba - PR
; Tel.: (41)371-7000 ","Cancelou registro de Cia Aberta . O acionista controlador, AB Electrolux realizou OPA na BOVESPA em 21/07/2004 ao preço de R$ 1,19 /mil ações."
ELEKEIROZ S.A.,ELEKEIROZ ,ELEK ,13.788.120/0001-47,2/16/1987,7/23/2020,"Rua Dr Edgardo de Azevedo Soares, 392; CEP: 13224-030; Várzea Paulista-SP; Tel.: (11) 4596-8827 ","Cancelou registro de Cia Aberta .O acionista controlador, Kilimanjaro Brasil Partners I B - Fundo de Investimento em Participações Multiestratégia Investimento no Exterior. realizou OPA na B3 em 03/06/2020. "
ELEKEIROZ S.A. ,ELEKEIROZ,ELND,10.362.796/0001-86,1/13/1986,10/22/2003,"Rua Dr. Edgardo de Azevedo Soares,392
; CEP: 13224 - 030
; Várzea Paulista - SP 
; Tel.: (11)4596-8827 ","Incorporada pela Ciquini Companhia Petroquímica. Cada ação foi substituída por 1,280533 ação da Ciquini Petroquímica, sendo 0,601410 em ação ON e 0,679123 em ação PN."
ELETRON S.A.,ELETRON,ETRO,00.514.998/0001-42 ,4/16/1997,4/28/1999,"Av. Brigadeiro Faria Lima,3064 - 6ºandar
; CEP: 01451-000
; São Paulo - SP
; Tel.:  (11)3049-3900",Mudou registro para Balcão Organizado (SOMA).
ELETROSILEX S.A.,ELETROSILEX,ELSX,20.789.145/0001-20,8/4/1995,1/4/2004,"Km 2,1 do Acesso de Capitão Enéas
; CEP: 39445 - 000
; Belo Horizonte - MG
; Tel.: (38)222-2188 
",Registro cancelado pelo BOVMESB. Não estava admitida à cotação na BOVESPA.
ELEVA ALIMENTOS S.A.,ELEVA,ELEV,92.776.665/0001-00,28/01/1985,17/04/2008,"Av. das Indústrias , 720 ; CEP:90200-290; Porto Alegre - RS; Tel.:(51)3371-7171","Incorporada pela Perdigão S.A. Cada 1,74308855 ações foi substituída por uma ação da Perdigão S.A."
ELEVADORES ATLAS SCHINDLER S.A.,ELEVAD ATLAS,ELAT,00.028.986/0001-08,6/11/1996,10/7/2003,"Av. do Estado,6116 - 
9ºandar
; CEP: 01516 - 900
; São Paulo - SP 
; Tel.: (11)6120-5100 ","Cancelou registro de Cia Aberta . O acionista controlador, Administração e Comércio Jaguar Ltda. realizou OPA ao preço de R$ 34,70 /ação, sendo que os acionistas deveriam comparecer a qualquer agência do Banco Itaú, relacionadas no edital no período de 08/08 a 08/09/2003. "
ELEVADORES SUR S.A. INDÚSTRIA E COMÉRCIO,ELEVAD SUR,SURS,90.347.840/0001-18,7/16/1974,1/26/1999,"Av.Francisco Matarazzo,1055 
; CEP: 05001-350
; São Paulo - SP 
; Tel.:  (11)3872-0055","Cancelou registro de Cia Aberta. O acionista controlador, Epart - Administração e Participações S.A. realizou OPA na BVES em 29/12/1998 ao preço de R$ 4,00 /ação. Pago acrescido da variação da TR e juros de 6% (seis por cento) a.a.  até a data da efetiva liquidação financeira."
ELUMA S.A. - INDÚSTRIA E COMÉRCIO ,ELUMA,ELUM,57.488.645/0001-32,7/8/1946,21/05/2010,"Rua Felipe Camarão, 500 ; CEP:09220-901; Santo André - SP; Tel.:(11)2199-7904","Incorporada pela Paranapanema S.A. Cada ação independente da espécie foi substituída por 6,71 ações ON da Paranapanema S.A."
EMBRAER -EMPRESA BRASILEIRA DE AERONÁUTICA S.A. ,EMBRAER,EMBR,60.208.493/0001-81,21/08/1989,6/7/2006,"Av. Brigadeiro Faria Lima, 2170 ; CEP:12227-901; São José dos Campos - SP; Tel.:(12)3927-1216","Incorporada pela Rio Han Empreendimentos e Participações S.A., que na AGE de 31/03/2006 alterou sua denominação social para Embraer - Empresa Brasileira de Aeronáutica S.A., (CNPJ/MF 07.689.002/0001-89).  Cada ação ON ou PN foi substituída por 1 (uma) ação ON da nova Embraer - Empresa Brasileira de Aeronáutica S.A.  "
EMBRATEL PARTICIPACOES S.A.,EMBRATEL PAR,EBTP,02.558.124/0001-12,9/11/1998,2/23/2015,"Rua Regente Feijó, 166 - Sala 1687-B; CEP: 20060-060; Rio de Janeiro - RJ; Tel.: (21) 2121-6474. ","Incorporada pela Claro S.A. Cada lote de 1.000 ações foi substituído por 0,0308 ação da Claro S.A."
EMILIO ROMANI S.A.,EMILI ROMANI,EMRC,76.491.828/0001-51,10/28/1971,3/1/1999,"Rua Orestes Camile,186
; CEP: 80215-330
; Curitiba - PR 
; Tel.:  (41)332-5244",Registro cancelado pela BVPR. A BOVESPA cancelou autorização para negociação em 02/12/1998.
EMPRESA BRAS. DE COMPRESSORES S.A. EMBRACO,EMBRACO,EBCO,84.720.630/0001-20,18/06/1982,21/06/2006,"Rua Rui Barbosa, 1020 ; CEP:89219-901; Joinville - SC; Tel.:(47)3441-2213","Incorporada pela Multibrás S.A. Eletrodomésticos, que na AGO/E de 27/04/2006  alterou sua denominação social para Whirlpool S.A. Cada ação foi substituída por 1,15081832 ações da Whirlpool S.A., respeitando as espécies.  "
ENERGISA SERGIPE - DIST. DE ENERGIA S.A.,ENERGIPE,ENSE,13.017.462/0001-63,17/07/2001,12/9/2009,"Rua Ministro Apolonio Sales, 81 ; CEP:40040-230; Aracaju - SE; Tel.:(79)2106-1600",Cancelou registro de Cia Aberta . Não estava admitida à cotação na BM&FBOVESPA.
ENERTEL ENERGIA E TELEC. PART. S.A.,ENERTEL,ENLT,00.751.913/0001-40,9/18/1995,4/12/2001,"Rua do Carmo,7 - 
8ºandar / Parte
; CEP: 20011 - 020
; Rio de Janeiro - RJ 
; Tel.: (21)212-4000 ","Cancelou registro de Cia Aberta . O acionista controlador, Tiger International Overseas Fund. Ltda. realizou OPA na BOVESPA em 16/02/2001 ao preço de R$ 0,92 /ação.
"
EPTE-EMP. PAULISTA TRANSM. ENER. ELET. S.A.,EPTE,EPTE,02.302.098/0001-67,3/27/1998,11/26/2001,"Rua Bela Cintra,847 -  6ºandar
; CEP: 01415 - 903
; São Paulo - SP 
; Tel.: (11)3138-7560 ","Incorporada pela Companhia de Transmissão de Energia Elétrica Paulista cada ação foi substituída por 1,869 ação da Companhia de Energia Elétrica Paulista, observada a espécie."
ERICSSON TELECOMUNICAÇÕES S.A.,ERICSSON,ERIC,33.067.745/0001-27,11/5/1970,4/12/2001,"Rua Maria Prestes Maia,300
; CEP: 02047 - 901
; São Paulo - SP 
; Tel.: (11)6224-1600 ","Cancelou registro de Cia Aberta . Uma das acionistas controladoras,  Ericsson Participações Ltda. realizou OPA na BOVESPA em 23/02/2001 ao preço de R$ 46,80 /mil ações."
ERNESTO NEUGEBAUER S.A. INDS. REUNIDAS,ERN NEUGEBAUER,NEUG,92.749.167/0001-78,17/10/72,5/23/2000,"Av. Cairu,230 
; CEP: 90230 - 030
; Porto Alegre - RS  
; Tel.: (51)337-3900",Cancelou registro de Cia Aberta . Não estava admitida à cotação na BOVESPA.
ÉVORA S.A.,EVORA ,PTPA,91.820.068/0001-72,11/22/1988,9/20/2016,"Rua Siqueira Campos, 1163 - 7º andar; Cep: 90010-001; Porto Alegre- RS; Tel.: (51) 3287-6344",Cancelou registro de cia. aberta.
FABRICA TECIDOS CARLOS RENAUX S.A.,FAB C RENAUX,FTRX,82.981.671/0001-45,1/3/1972,12/26/2013,"Avenida Primeiro de Maio, 1283; CEP: 88353-901; Brusque-SC; Tel.: (47)  3351-0922","Cancelou registro de cia. Aberta, em virtude da decretação de sua falência."
FATOR EMPREEND. IMOBILIÁRIOS S.A. ,FATOR IMOBIL,FATO,62.528.930/0001-70,7/23/1970,5/25/2000,"Rua Santa Izabel,160
; CEP: 01221 - 010
; São Paulo - SP 
; Tel.: (11)220-9700 ",Falta de atualização do registro perante a BOVESPA.
"FERRAGENS DEMELLOT S.A.
",FER DEMELLOT,FLBR,61.196.564/0001-36,12/10/1954,8/25/2005,"Rua Prof. Gustavo Pires de Andrade,682
; CEP: 03114 - 001
; São Paulo - SP 
; Tel.: (11)6341-7597

",Falta de atualização do registro perante a BOVESPA.
FERRONORTE S.A. FERROVIAS NORTE BRASIL,FERRONORTE,FRRN,24.962.466/0001-36,12/27/1995,1/18/1999,"Rua Historiador Rubens de Mendonça,2000  Sala 308
; CEP: 78045-690
; Cuiabá - MT
; Tel.:  (65)644-7448",Incorporada pela Ferronorte Participações S.A. Cada ação foi substituída por 314.382.757 ações ON e 34.067.707 ações PN da Ferronorte Participações S.A.
FERROVIA SUL ATLÂNTICO S.A.,F SUL ATLANT,GTCZ,01.258.944/0001-26 ,8/29/1996,5/13/1999,"Av. Brigadeiro Faria Lima,3064 - 12ºandar
; CEP: 01451-020
; São Paulo - SP
; Tel.:  (11)821-6777",Incorporada pela Piuma Participações S.A. Cada ação foi substituída por uma ação da Piuma Participações S.A. 
FERTIBRAS S.A.,FERTIBRAS,FBRA,61.442.109/0001-73,20/01/1981,1/12/2007,"Av. Henry Ford, 803 - 1º andar; CEP:06210-108; Osasco - SP; Tel.:(11)3685-8500","Cancelou registro de cia aberta. O acionista controlador Yara International ASA, através de sua controlada indireta Yara Brasil Agronegócios Ltda. realizou OPA na BOVESPA em 04/01/2007 ao preço de R$ 34,00 /ação."
FERTILIZANTES SERRANA S.A.,FERT SERRANA,FTSE,60.398.989/0001-65,2/4/1971,7/11/2001,"Av. Maria Coelho Aguiar,215 - 
5ºandar / Bl.D
; CEP: 5804 - 900
; São Paulo - SP 
; Tel.: (11)3741-3155 ","Incorporada pela Manah S.A (atual Bunge Fertilizantes S.A.). Cada lote de mil ações foi substituído por 0,6912406005 lotes de mil ações da Manah, observada a espécie.  "
FERTIZA CIA NACIONAL DE FERTILIZANTES,FERTIZA,FTZA,61.377.230/0001-69,1/20/1986,1/21/2002,"Av. Paulista,1912 - 
14ºandar
; CEP: 01310 - 200
; São Paulo - SP 
; Tel.: (11)3146-0748","Incorporada pela Cargill Fertilizantes S.A. (atual denominação social da Solorrico S.A. - Indústria e Comércio). Cada lote de mil ações foi substituído por 1,499321 ações da Cargill Fertilizantes S.A., observada a espécie."
